turns,responses,turn_1_prompt,turn_1_instruction_id_list,turn_1_kwargs,turn_2_prompt,turn_2_instruction_id_list,turn_2_kwargs,turn_3_prompt,turn_3_instruction_id_list,turn_3_kwargs,key,turn_index,language
,,"{""role"": ""user"", ""content"": ""Are hamburgers sandwiches? Please respond using only the Kannada language, no other language is allowed.""}","[""language:response_language""]","[""{\""language\"": \""kn\""}""]","{""role"": ""user"", ""content"": ""Your response should end with the exact phrase: \""\u0cb9\u0cc0\u0c97\u0cbe\u0c97\u0cbf, \u0cb9\u0ccd\u0caf\u0cbe\u0c82\u0cac\u0cb0\u0ccd\u0c97\u0cb0\u0ccd\u200c\u0c97\u0cb3\u0cc1 \u0cb5\u0cbf\u0cb6\u0cc7\u0cb7 \u0cb0\u0cc0\u0ca4\u0cbf\u0caf \u0cb8\u0ccd\u0caf\u0cbe\u0c82\u0ca1\u0ccd\u200c\u0cb5\u0cbf\u0c9a\u0ccd\u200c\u0c97\u0cb3\u0cc1 \u0c8e\u0c82\u0ca6\u0cc1 \u0caa\u0cb0\u0cbf\u0c97\u0ca3\u0cbf\u0cb8\u0cac\u0cb9\u0cc1\u0ca6\u0cc1.\"" No other words should follow this phrase.""}","[""language:response_language"", ""startend:end_checker""]","[""{\""language\"": \""kn\""}"", ""{\""end_phrase\"": \""\\u0cb9\\u0cc0\\u0c97\\u0cbe\\u0c97\\u0cbf, \\u0cb9\\u0ccd\\u0caf\\u0cbe\\u0c82\\u0cac\\u0cb0\\u0ccd\\u0c97\\u0cb0\\u0ccd\\u200c\\u0c97\\u0cb3\\u0cc1 \\u0cb5\\u0cbf\\u0cb6\\u0cc7\\u0cb7 \\u0cb0\\u0cc0\\u0ca4\\u0cbf\\u0caf \\u0cb8\\u0ccd\\u0caf\\u0cbe\\u0c82\\u0ca1\\u0ccd\\u200c\\u0cb5\\u0cbf\\u0c9a\\u0ccd\\u200c\\u0c97\\u0cb3\\u0cc1 \\u0c8e\\u0c82\\u0ca6\\u0cc1 \\u0caa\\u0cb0\\u0cbf\\u0c97\\u0ca3\\u0cbf\\u0cb8\\u0cac\\u0cb9\\u0cc1\\u0ca6\\u0cc1.\""}""]","{""role"": ""user"", ""content"": ""The result should contain exactly 6 paragraphs. The paragraphs should be separated by the markdown divider: ***.""}","[""language:response_language"", ""startend:end_checker"", ""length_constraints:number_paragraphs""]","[""{\""language\"": \""kn\""}"", ""{\""end_phrase\"": \""\\u0cb9\\u0cc0\\u0c97\\u0cbe\\u0c97\\u0cbf, \\u0cb9\\u0ccd\\u0caf\\u0cbe\\u0c82\\u0cac\\u0cb0\\u0ccd\\u0c97\\u0cb0\\u0ccd\\u200c\\u0c97\\u0cb3\\u0cc1 \\u0cb5\\u0cbf\\u0cb6\\u0cc7\\u0cb7 \\u0cb0\\u0cc0\\u0ca4\\u0cbf\\u0caf \\u0cb8\\u0ccd\\u0caf\\u0cbe\\u0c82\\u0ca1\\u0ccd\\u200c\\u0cb5\\u0cbf\\u0c9a\\u0ccd\\u200c\\u0c97\\u0cb3\\u0cc1 \\u0c8e\\u0c82\\u0ca6\\u0cc1 \\u0caa\\u0cb0\\u0cbf\\u0c97\\u0ca3\\u0cbf\\u0cb8\\u0cac\\u0cb9\\u0cc1\\u0ca6\\u0cc1.\""}"", ""{\""num_paragraphs\"": 6}""]",1108:11:en,0,English
,,"{""role"": ""user"", ""content"": ""make a tweet for playboy's twitter account without using capital letters. Include at least 4 hashtags, starting with '#'""}","[""change_case:english_lowercase"", ""keywords:letter_frequency""]","[""{}"", ""{\""let_relation\"": \""at least\"", \""letter\"": \""#\"", \""let_frequency\"": 4}""]","{""role"": ""user"", ""content"": ""Your response should end with the exact phrase: \""discover more with us.\"" No other words should follow this phrase.""}","[""change_case:english_lowercase"", ""keywords:letter_frequency"", ""startend:end_checker""]","[""{}"", ""{\""let_relation\"": \""at least\"", \""letter\"": \""#\"", \""let_frequency\"": 4}"", ""{\""end_phrase\"": \""discover more with us.\""}""]","{""role"": ""user"", ""content"": ""Your result should contain at least 2 highlighted sections with markdown, for example: *highlighted section*.""}","[""change_case:english_lowercase"", ""keywords:letter_frequency"", ""startend:end_checker"", ""detectable_format:number_highlighted_sections""]","[""{}"", ""{\""let_relation\"": \""at least\"", \""letter\"": \""#\"", \""let_frequency\"": 4}"", ""{\""end_phrase\"": \""discover more with us.\""}"", ""{\""num_highlights\"": 2}""]",1122:18:en,0,English
,,"{""role"": ""user"", ""content"": ""Write a poem about how I am missing my classes. The poem must have 4 sections marked with SECTION X. Finish the poem with this exact phrase: \""Can I get my money back for the classes I missed?\""""}","[""detectable_format:multiple_sections"", ""startend:end_checker""]","[""{\""section_spliter\"": \""SECTION\"", \""num_sections\"": 4}"", ""{\""end_phrase\"": \""Can I get my money back for the classes I missed?\""}""]","{""role"": ""user"", ""content"": ""Make sure your entire response is in English, and in all capital letters.""}","[""detectable_format:multiple_sections"", ""startend:end_checker"", ""change_case:english_capital""]","[""{\""section_spliter\"": \""SECTION\"", \""num_sections\"": 4}"", ""{\""end_phrase\"": \""Can I get my money back for the classes I missed?\""}"", ""{}""]","{""role"": ""user"", ""content"": ""The text should contain at least 400 words.""}","[""detectable_format:multiple_sections"", ""startend:end_checker"", ""change_case:english_capital"", ""length_constraints:number_words""]","[""{\""section_spliter\"": \""SECTION\"", \""num_sections\"": 4}"", ""{\""end_phrase\"": \""Can I get my money back for the classes I missed?\""}"", ""{}"", ""{\""relation\"": \""at least\"", \""num_words\"": 400}""]",1127:4:en,0,English
,,"{""role"": ""user"", ""content"": ""Write a poem about how I am missing my classes. The poem must have 4 sections marked with SECTION X. Finish the poem with this exact phrase: \""Can I get my money back for the classes I missed?\""""}","[""detectable_format:multiple_sections"", ""startend:end_checker""]","[""{\""section_spliter\"": \""SECTION\"", \""num_sections\"": 4}"", ""{\""end_phrase\"": \""Can I get my money back for the classes I missed?\""}""]","{""role"": ""user"", ""content"": ""Make sure your entire response is in English, and in all capital letters.""}","[""detectable_format:multiple_sections"", ""startend:end_checker"", ""change_case:english_capital""]","[""{\""section_spliter\"": \""SECTION\"", \""num_sections\"": 4}"", ""{\""end_phrase\"": \""Can I get my money back for the classes I missed?\""}"", ""{}""]","{""role"": ""user"", ""content"": ""Your response should include the word university at least 2 times.""}","[""detectable_format:multiple_sections"", ""startend:end_checker"", ""change_case:english_capital"", ""keywords:frequency""]","[""{\""section_spliter\"": \""SECTION\"", \""num_sections\"": 4}"", ""{\""end_phrase\"": \""Can I get my money back for the classes I missed?\""}"", ""{}"", ""{\""relation\"": \""at least\"", \""keyword\"": \""university\"", \""frequency\"": 2}""]",1127:8:en,0,English
,,"{""role"": ""user"", ""content"": ""Write a weird poem about yoda being transported into a different universe in the Persian language, no other language is allowed.""}","[""language:response_language""]","[""{\""language\"": \""fa\""}""]","{""role"": ""user"", ""content"": ""Your response should have 6 paragraphs and the 2-th paragraph should start with the word \u06a9\u0647\u06a9\u0634\u0627\u0646. The paragraphs should be separated by two new lines.""}","[""language:response_language"", ""length_constraints:nth_paragraph_first_word""]","[""{\""language\"": \""fa\""}"", ""{\""first_word\"": \""\\u06a9\\u0647\\u06a9\\u0634\\u0627\\u0646\"", \""num_paragraphs\"": 6, \""nth_paragraph\"": 2}""]","{""role"": ""user"", ""content"": ""Your response should include the following keywords: \u0633\u0641\u0631, \u0633\u062d\u0631, \u06cc\u0627\u062f\u0627.""}","[""language:response_language"", ""length_constraints:nth_paragraph_first_word"", ""keywords:existence""]","[""{\""language\"": \""fa\""}"", ""{\""first_word\"": \""\\u06a9\\u0647\\u06a9\\u0634\\u0627\\u0646\"", \""num_paragraphs\"": 6, \""nth_paragraph\"": 2}"", ""{\""keywords\"": [\""\\u0633\\u0641\\u0631\"", \""\\u0633\\u062d\\u0631\"", \""\\u06cc\\u0627\\u062f\\u0627\""]}""]",1477:5:en,0,English
,,"{""role"": ""user"", ""content"": ""Write a weird poem about yoda being transported into a different universe in the Persian language, no other language is allowed.""}","[""language:response_language""]","[""{\""language\"": \""fa\""}""]","{""role"": ""user"", ""content"": ""The result should contain exactly 6 paragraphs. The paragraphs should be separated by the markdown divider: ***.""}","[""language:response_language"", ""length_constraints:number_paragraphs""]","[""{\""language\"": \""fa\""}"", ""{\""num_paragraphs\"": 6}""]","{""role"": ""user"", ""content"": ""Your response should include the following keywords: \u06cc\u0627\u062f\u0627, \u06a9\u0647\u06a9\u0634\u0627\u0646, \u062c\u062f\u0627\u06cc\u06cc.""}","[""language:response_language"", ""length_constraints:number_paragraphs"", ""keywords:existence""]","[""{\""language\"": \""fa\""}"", ""{\""num_paragraphs\"": 6}"", ""{\""keywords\"": [\""\\u06cc\\u0627\\u062f\\u0627\"", \""\\u06a9\\u0647\\u06a9\\u0634\\u0627\\u0646\"", \""\\u062c\\u062f\\u0627\\u06cc\\u06cc\""]}""]",1477:6:en,0,English
,,"{""role"": ""user"", ""content"": ""Write a five line poem about the time you had a binge watching episode. The poem should have a rhyme scheme of AABBA and include the word \""Netflix\"". Your entire response should be in English, and should not contain any capital letters.""}","[""change_case:english_lowercase"", ""keywords:existence""]","[""{}"", ""{\""keywords\"": [\""netflix\""]}""]","{""role"": ""user"", ""content"": ""The result must contain a title wrapped in double angular brackets, i.e. <<title>>.""}","[""change_case:english_lowercase"", ""keywords:existence"", ""detectable_format:title""]","[""{}"", ""{\""keywords\"": [\""netflix\""]}"", ""{}""]","{""role"": ""user"", ""content"": ""You should provide two responses. Separate your two responses with six asterisks (******)""}","[""change_case:english_lowercase"", ""keywords:existence"", ""detectable_format:title"", ""combination:two_responses""]","[""{}"", ""{\""keywords\"": [\""netflix\""]}"", ""{}"", ""{}""]",1516:4:en,0,English
,,"{""role"": ""user"", ""content"": ""Write a five line poem about the time you had a binge watching episode. The poem should have a rhyme scheme of AABBA and include the word \""Netflix\"". Your entire response should be in English, and should not contain any capital letters.""}","[""change_case:english_lowercase"", ""keywords:existence""]","[""{}"", ""{\""keywords\"": [\""netflix\""]}""]","{""role"": ""user"", ""content"": ""There should be 3 sections highlighted with markdown, for example: *highlighted section*.""}","[""change_case:english_lowercase"", ""keywords:existence"", ""detectable_format:number_highlighted_sections""]","[""{}"", ""{\""keywords\"": [\""netflix\""]}"", ""{\""num_highlights\"": 3}""]","{""role"": ""user"", ""content"": ""Wrap your whole response with double quotation marks.""}","[""change_case:english_lowercase"", ""keywords:existence"", ""detectable_format:number_highlighted_sections"", ""startend:quotation""]","[""{}"", ""{\""keywords\"": [\""netflix\""]}"", ""{\""num_highlights\"": 3}"", ""{}""]",1516:5:en,0,English
,,"{""role"": ""user"", ""content"": ""Write an essay of at least 900 words on the topic of navigable freeway. Make sure the entire response is in English and no capital letters are used.""}","[""change_case:english_lowercase"", ""length_constraints:number_words""]","[""{}"", ""{\""relation\"": \""at least\"", \""num_words\"": 900}""]","{""role"": ""user"", ""content"": ""The result should contain at least 7 sections, and each section should be separated by the word \""Day\"".""}","[""change_case:english_lowercase"", ""length_constraints:number_words"", ""detectable_format:multiple_sections""]","[""{}"", ""{\""relation\"": \""at least\"", \""num_words\"": 900}"", ""{\""section_spliter\"": \""Day\"", \""num_sections\"": 7}""]","{""role"": ""user"", ""content"": ""Your response should include the following keywords: efficiency, transportation, design.""}","[""change_case:english_lowercase"", ""length_constraints:number_words"", ""detectable_format:multiple_sections"", ""keywords:existence""]","[""{}"", ""{\""relation\"": \""at least\"", \""num_words\"": 900}"", ""{\""section_spliter\"": \""Day\"", \""num_sections\"": 7}"", ""{\""keywords\"": [\""efficiency\"", \""transportation\"", \""design\""]}""]",152:13:en,0,English
,,"{""role"": ""user"", ""content"": ""Write an essay of at least 900 words on the topic of navigable freeway. Make sure the entire response is in English and no capital letters are used.""}","[""change_case:english_lowercase"", ""length_constraints:number_words""]","[""{}"", ""{\""relation\"": \""at least\"", \""num_words\"": 900}""]","{""role"": ""user"", ""content"": ""You should provide two responses. Separate your two responses with six asterisks (******)""}","[""change_case:english_lowercase"", ""length_constraints:number_words"", ""combination:two_responses""]","[""{}"", ""{\""relation\"": \""at least\"", \""num_words\"": 900}"", ""{}""]","{""role"": ""user"", ""content"": ""Your response should include the word vehicles at least 2 times.""}","[""change_case:english_lowercase"", ""length_constraints:number_words"", ""combination:two_responses"", ""keywords:frequency""]","[""{}"", ""{\""relation\"": \""at least\"", \""num_words\"": 900}"", ""{}"", ""{\""relation\"": \""at least\"", \""keyword\"": \""vehicles\"", \""frequency\"": 2}""]",152:19:en,0,English
,,"{""role"": ""user"", ""content"": ""Write a cover letter for a job application as a tour guide in Beijing in all lowercase letters, with no capitalizations. Make it short -- the entire output should have less than 5 sentences.""}","[""change_case:english_lowercase"", ""length_constraints:number_sentences""]","[""{}"", ""{\""relation\"": \""less than\"", \""num_sentences\"": 5}""]","{""role"": ""user"", ""content"": ""Your response should end with the exact phrase: \""looking forward to your positive response.\"" No other words should follow this phrase.""}","[""change_case:english_lowercase"", ""length_constraints:number_sentences"", ""startend:end_checker""]","[""{}"", ""{\""relation\"": \""less than\"", \""num_sentences\"": 5}"", ""{\""end_phrase\"": \""looking forward to your positive response.\""}""]","{""role"": ""user"", ""content"": ""Your response should include the following keywords: team, enthusiastic, knowledgeable.""}","[""change_case:english_lowercase"", ""length_constraints:number_sentences"", ""startend:end_checker"", ""keywords:existence""]","[""{}"", ""{\""relation\"": \""less than\"", \""num_sentences\"": 5}"", ""{\""end_phrase\"": \""looking forward to your positive response.\""}"", ""{\""keywords\"": [\""team\"", \""enthusiastic\"", \""knowledgeable\""]}""]",1535:4:en,0,English
,,"{""role"": ""user"", ""content"": ""Write a cover letter for a job application as a tour guide in Beijing in all lowercase letters, with no capitalizations. Make it short -- the entire output should have less than 5 sentences.""}","[""change_case:english_lowercase"", ""length_constraints:number_sentences""]","[""{}"", ""{\""relation\"": \""less than\"", \""num_sentences\"": 5}""]","{""role"": ""user"", ""content"": ""The result must contain a title wrapped in double angular brackets, i.e. <<title>>.""}","[""change_case:english_lowercase"", ""length_constraints:number_sentences"", ""detectable_format:title""]","[""{}"", ""{\""relation\"": \""less than\"", \""num_sentences\"": 5}"", ""{}""]","{""role"": ""user"", ""content"": ""Your response should contain a postscript with the marker \""P.P.S\"".""}","[""change_case:english_lowercase"", ""length_constraints:number_sentences"", ""detectable_format:title"", ""detectable_content:postscript""]","[""{}"", ""{\""relation\"": \""less than\"", \""num_sentences\"": 5}"", ""{}"", ""{\""postscript_marker\"": \""P.P.S\""}""]",1535:9:en,0,English
,,"{""role"": ""user"", ""content"": ""Could you tell me what kind of balls are used in tennis? I would like the answer in the form of a medieval style poem with a P.P.S at the end.""}","[""detectable_content:postscript""]","[""{\""postscript_marker\"": \""P.P.S\""}""]","{""role"": ""user"", ""content"": ""There should be 1 section highlighted with markdown, example: *highlighted section*.""}","[""detectable_content:postscript"", ""detectable_format:number_highlighted_sections""]","[""{\""postscript_marker\"": \""P.P.S\""}"", ""{\""num_highlights\"": 1}""]","{""role"": ""user"", ""content"": ""Your response should include the word court at least 6 times.""}","[""detectable_content:postscript"", ""detectable_format:number_highlighted_sections"", ""keywords:frequency""]","[""{\""postscript_marker\"": \""P.P.S\""}"", ""{\""num_highlights\"": 1}"", ""{\""relation\"": \""at least\"", \""keyword\"": \""court\"", \""frequency\"": 6}""]",1537:10:en,0,English
,,"{""role"": ""user"", ""content"": ""Could you tell me what kind of balls are used in tennis? I would like the answer in the form of a medieval style poem with a P.P.S at the end.""}","[""detectable_content:postscript""]","[""{\""postscript_marker\"": \""P.P.S\""}""]","{""role"": ""user"", ""content"": ""Your response should include the following keywords: serve, realm, tournament.""}","[""detectable_content:postscript"", ""keywords:existence""]","[""{\""postscript_marker\"": \""P.P.S\""}"", ""{\""keywords\"": [\""serve\"", \""realm\"", \""tournament\""]}""]","{""role"": ""user"", ""content"": ""Your result must be entirely in lowercase English.""}","[""detectable_content:postscript"", ""keywords:existence"", ""change_case:english_lowercase""]","[""{\""postscript_marker\"": \""P.P.S\""}"", ""{\""keywords\"": [\""serve\"", \""realm\"", \""tournament\""]}"", ""{}""]",1537:12:en,0,English
,,"{""role"": ""user"", ""content"": ""Write a song about regrets in the style of Taylor Swift. Please include explanations for the lyrics you write. Make sure your entire response is in English, and in all capital letters.""}","[""change_case:english_capital""]","[""{}""]","{""role"": ""user"", ""content"": ""The output should contain exactly 3 paragraphs. The paragraphs should be separated by the markdown divider: ***.""}","[""change_case:english_capital"", ""length_constraints:number_paragraphs""]","[""{}"", ""{\""num_paragraphs\"": 3}""]","{""role"": ""user"", ""content"": ""Your response should include the word lonely at least 2 times.""}","[""change_case:english_capital"", ""length_constraints:number_paragraphs"", ""keywords:frequency""]","[""{}"", ""{\""num_paragraphs\"": 3}"", ""{\""relation\"": \""at least\"", \""keyword\"": \""lonely\"", \""frequency\"": 2}""]",1566:10:en,0,English
,,"{""role"": ""user"", ""content"": ""Write a song about regrets in the style of Taylor Swift. Please include explanations for the lyrics you write. Make sure your entire response is in English, and in all capital letters.""}","[""change_case:english_capital""]","[""{}""]","{""role"": ""user"", ""content"": ""Wrap your whole response with double quotation marks.""}","[""change_case:english_capital"", ""startend:quotation""]","[""{}"", ""{}""]","{""role"": ""user"", ""content"": ""The text should contain exactly 4 paragraphs. The paragraphs should be separated by the markdown divider: ***.""}","[""change_case:english_capital"", ""startend:quotation"", ""length_constraints:number_paragraphs""]","[""{}"", ""{}"", ""{\""num_paragraphs\"": 4}""]",1566:12:en,0,English
,,"{""role"": ""user"", ""content"": ""Compose a poem that has the word \""land\"" and \""river\"". It should be about nature and love. Also, the word \""forest\"" should appear at least 3 times, and be written in English, with all letters lowercased.""}","[""keywords:frequency"", ""change_case:english_lowercase"", ""keywords:existence""]","[""{\""relation\"": \""at least\"", \""keyword\"": \""forest\"", \""frequency\"": 3}"", ""{}"", ""{\""keywords\"": [\""land\"", \""river\""]}""]","{""role"": ""user"", ""content"": ""Your response should end with the exact phrase: \""where our hearts freely roam.\"" No other words should follow this phrase.""}","[""keywords:frequency"", ""change_case:english_lowercase"", ""keywords:existence"", ""startend:end_checker""]","[""{\""relation\"": \""at least\"", \""keyword\"": \""forest\"", \""frequency\"": 3}"", ""{}"", ""{\""keywords\"": [\""land\"", \""river\""]}"", ""{\""end_phrase\"": \""where our hearts freely roam.\""}""]","{""role"": ""user"", ""content"": ""You should provide two responses. Separate your two responses with six asterisks (******)""}","[""keywords:frequency"", ""change_case:english_lowercase"", ""keywords:existence"", ""startend:end_checker"", ""combination:two_responses""]","[""{\""relation\"": \""at least\"", \""keyword\"": \""forest\"", \""frequency\"": 3}"", ""{}"", ""{\""keywords\"": [\""land\"", \""river\""]}"", ""{\""end_phrase\"": \""where our hearts freely roam.\""}"", ""{}""]",1571:3:en,0,English
